First Name,Last Name,Address,Postcode,Phone
John,Smith,"1 High Street, Runcorn",WA7 1AA,01928123456
Jane,Doe,"1 High Street, Runcorn",WA7 1AA,01928123457
Bob,Wilson,"2 High Street, Runcorn",WA7 1AB,01928123458
Alice,Brown,"3 High Street, Runcorn",WA7 1AC,01928123459
Charlie,Jones,"3 High Street, Runcorn",WA7 1AC,01928123460
David,Taylor,"4 Victoria Road, Runcorn",WA7 2AA,01928123461
Emma,Davies,"5 Victoria Road, Runcorn",WA7 2AB,01928123462
Frank,Evans,"5 Victoria Road, Runcorn",WA7 2AB,01928123463
Grace,Thomas,"6 Church Lane, Helsby",WA6 0AA,01928123464
Henry,Roberts,"7 Church Lane, Helsby",WA6 0AB,01928123465
Isabel,Johnson,"7 Church Lane, Helsby",WA6 0AB,01928123466
Jack,Williams,"8 Mill Close, Helsby",WA6 0AC,01928123467
